code,type,description
REL,"일반","종교 (미지정)"
ATH,"이념","불가지론/무신론"
BAH,"종교","바하이 신앙"
BUD,"종교","불교"
MAH,"종파","대승불교"
BUDMAH,"종파","대승불교"
MLN,"성향","천년왕국 운동"
BUDMLN,"성향","천년왕국 불교 운동"
NRM,"성향","신흥 종교 운동"
BUDNRM,"성향","신흥 불교 운동"
SYN,"성향","혼합주의"
BUDSYN,"성향","혼합주의 불교"
THR,"종파","상좌부 불교"
BUDTHR,"종파","상좌부 불교"
VAJ,"종파","금강승 불교"
BUDVAJ,"종파","금강승 불교"
CHR,"종교","기독교"
ANG,"종파","성공회"
CHRANG,"종파","세계 성공회 공동체"
CTH,"종파","가톨릭"
CHRCTH,"종파","로마 가톨릭"
DOX,"종파","정교회"
CHRDOX,"종파","동방 정교회"
CPT,"종파","콥트 교회"
CHRCPT,"종파","콥트 정교회"
GNO,"성향","영지주의"
CHRGNO,"성향","영지주의 기독교"
JHW,"종파","여호와의 증인"
CHRJHW,"종파","성경 연구생 운동"
LDS,"종파","몰몬교 (후기 성도)"
CHRLDS,"종파","예수 그리스도 후기 성도 교회"
MAY,"성향","유사 기독교"
CHRMAY,"성향","유사 기독교 교회"
PRO,"종파","개신교"
CHRPRO,"종파","개신교"
RAC,"성향","인종주의 신학"
CHRRAC,"성향","인종주의 기독교 그룹"
RAD,"성향","근본주의"
CHRRAD,"성향","기독교 근본주의"
CHRSYN,"성향","혼합주의 기독교"
CON,"종교","유교"
CONSYN,"종파","신유학"
HIN,"종교","힌두교"
AST,"종파","아스티카 (정통 철학)"
HINAST,"종파","아스티카 힌두교"
DEN,"종파","힌두교 종파"
HINDEN,"종파","힌두교 종파"
HINMAY,"성향","논쟁적 힌두 그룹"
HINNRM,"성향","신흥 힌두 운동"
OFF,"성향","파생"
HINOFF,"성향","힌두교 파생 그룹"
HINSYN,"성향","혼합주의 힌두 운동"
WLB,"성향","웰빙 관련 운동"
HINWLB,"성향","웰빙 관련 힌두 운동"
JAN,"종교","자이나교"
JEW,"종교","유대교"
JEWNRM,"성향","신흥 유대 운동"
JEWOFF,"성향","유대교 파생 그룹"
JEWRAC,"성향","인종주의 유대교"
MOS,"종교","이슬람"
MOSMAY,"성향","논쟁적 이슬람 그룹"
MOSOFF,"성향","이슬람 파생 그룹"
MOSRAC,"성향","인종주의 이슬람"
SFI,"성향","수피즘"
MOSSFI,"성향","수피즘"
SHI,"종파","시아파"
MOSSHI,"종파","시아파 이슬람"
SUN,"종파","수니파"
MOSSUN,"종파","수니파 이슬람"
MOSSYN,"성향","혼합주의 이슬람"
MOSRAD,"성향","급진/근본주의 이슬람"
SHN,"종교","신토"
SHNNRM,"성향","일본의 신흥 종교"
SHNSYN,"성향","혼합주의 신토"
SIK,"종교","시크교"
SIKNRM,"성향","시크교 파생 신흥 종교 운동"
TAO,"종교","도교"
ABR,"종교","아브라함 계통 종교"
ABRNRM,"성향","신흥 아브라함 운동"
ABRRAC,"성향","인종주의 아브라함 종교"
ADR,"종교","아프리카 디아스포라 종교"
ADRSYN,"성향","혼합주의 아프리카 디아스포라 종교"
EAR,"종교","동아시아 종교"
EARMLN,"성향","천년왕국 동아시아 종교"
EARNRM,"성향","신흥 동아시아 종교 운동"
EARSYN,"성향","혼합주의 동아시아 종교"
INR,"종교","인도 계통 종교"
INRNRM,"성향","인도 신흥 종교 운동"
INRSYN,"성향","혼합주의 인도 종교"
IRR,"종교","이란 계통 종교"
IRRGNO,"성향","영지주의 이란 종교"
ITR,"종교","토착 부족 종교"
ITRCRB,"종파","카리브 토착 종교"
ITRNAM,"종파","북미 원주민 종교"
ITRWAF,"종파","서아프리카 토착 종교"
NRM,"종교","신흥 종교 운동"
NRMGNO,"성향","신흥 영지주의 종교 운동"
NRMMLN,"성향","천년왕국 신흥 종교 운동"
PAG,"종교","토속 신앙"
NRMPAG,"성향","현대 이교"
NRMRAC,"성향","신흥 인종주의 종교 운동"
NRMSYN,"성향","혼합주의 신흥 종교 운동"
UFO,"성향","UFO 종교"
NRMUFO,"성향","UFO 종교"
NRMWLN,"성향","웰빙 관련 신흥 종교 운동"
ZRO,"종교","조로아스터교"
ALE,"종파","알레비파"
DRZ,"종파","드루즈"
HSD,"종파","하시디즘 유대교"
MRN,"종파","마론파"
UDX,"종파","초정통파 유대교"
