code,description
010,"성명 발표"
011,"논평 거부"
012,"비관적 논평"
013,"낙관적 논평"
014,"정책 옵션 고려"
015,"책임 인정 또는 주장"
016,"책임 부인"
017,"상징적 행동"
018,"공감/위로 표명"
019,"의견 일치 표명"
020,"호소 및 요청"
021,"물질적 협력 호소"
0211,"경제 협력 호소"
0212,"군사 협력 호소"
0213,"사법 공조 호소"
0214,"정보 협력 호소"
022,"외교적 협력 호소"
023,"원조 요청"
0231,"경제 원조 요청"
0232,"군사 원조 요청"
0233,"인도적 지원 요청"
0234,"군사 보호 또는 평화유지군 요청"
024,"정치 개혁 요구"
0241,"지도부 교체 요구"
0242,"정책 변경 요구"
0243,"권리 요구"
0244,"제도/체제 변경 요구"
025,"양보 요구"
0251,"행정 제재 완화 요구"
0252,"정치적 반대 완화 요구"
0253,"인물 또는 재산 석방/반환 요구"
0254,"경제 제재/보이콧/금수 조치 완화 요구"
0255,"국제적 개입 허용 요구"
0256,"군사적 교전 완화 요구"
026,"타 주체 간 회담/협상 촉구"
027,"타 주체 간 분쟁 해결 촉구"
028,"중재 참여 또는 수용 촉구"
030,"협력 의사 표명"
031,"물질적 협력 의사 표명"
0311,"경제 협력 의사 표명"
0312,"군사 협력 의사 표명"
0313,"사법 공조 의사 표명"
0314,"정보 협력 의사 표명"
032,"외교적 협력 의사 표명"
033,"물질적 원조 제공 의사 표명"
0331,"경제 원조 제공 의사 표명"
0332,"군사 원조 제공 의사 표명"
0333,"인도적 지원 제공 의사 표명"
0334,"군사 보호 또는 평화유지군 제공 의사 표명"
034,"정치 개혁 단행 의사 표명"
0341,"지도부 교체 의사 표명"
0342,"정책 변경 의사 표명"
0343,"권리 제공 의사 표명"
0344,"제도/체제 변경 의사 표명"
035,"양보 의사 표명"
0351,"행정 제재 완화 의사 표명"
0352,"정치적 반대 완화 의사 표명"
0353,"인물 또는 재산 석방/반환 의사 표명"
0354,"경제 제재/보이콧/금수 조치 완화 의사 표명"
0355,"국제적 개입 허용 의사 표명"
0356,"군사적 교전 완화 의사 표명"
036,"회담 또는 협상 의사 표명"
037,"분쟁 해결 의사 표명"
038,"중재 수용 의사 표명"
039,"중재 의사 표명"
040,"협의"
041,"전화 협의"
042,"방문"
043,"방문 접견"
044,"제3국에서의 회담"
045,"중재"
046,"협상"
050,"외교적 협력"
051,"칭찬 또는 지지"
052,"언어적 방어"
053,"지지 규합"
054,"외교적 승인"
055,"사과"
056,"용서"
057,"공식 협정 체결"
060,"물질적 협력"
061,"경제적 협력"
062,"군사적 협력"
063,"사법 공조"
064,"정보 공유"
070,"원조 제공"
071,"경제 원조 제공"
072,"군사 원조 제공"
073,"인도적 지원 제공"
074,"군사 보호 또는 평화유지군 제공"
075,"망명 허용"
080,"양보 및 수용"
081,"행정 제재 완화"
0811,"정치적 자유 제한 완화"
0812,"정당 또는 정치인 활동 금지 완화"
0813,"통금 완화"
0814,"비상사태 또는 계엄령 완화"
082,"정치적 반대 완화"
083,"정치 개혁 요구 수용"
0831,"지도부 교체 요구 수용"
0832,"정책 변경 요구 수용"
0833,"권리 요구 수용"
0834,"제도/체제 변경 요구 수용"
084,"반환 및 석방"
0841,"인물 반환 및 석방"
0842,"재산 반환 및 석방"
085,"경제 제재/보이콧/금수 조치 완화"
086,"국제적 개입 허용"
0861,"평화유지군 배치 수용"
0862,"사찰단 수용"
0863,"인도적 지원 접근 허용"
087,"군사적 교전 완화"
0871,"휴전 선언"
0872,"군사적 봉쇄 완화"
0873,"군대 동원 해제"
0874,"군사적 후퇴 또는 항복"
090,"조사"
091,"범죄 및 부패 조사"
092,"인권 침해 조사"
093,"군사 행동 조사"
094,"전쟁 범죄 조사"
100,"요구"
101,"물질적 협력 요구"
1011,"경제 협력 요구"
